City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
43,marrakesh,31.6315,-8.0083,11.04,93,100,3.6,MA,1680642341
44,huacho,-11.1067,-77.605,27.05,73,78,4.27,PE,1680642559
45,sol-iletsk,51.1631,54.9918,9.0,56,93,3.28,RU,1680642559
46,orocue,4.7912,-71.3354,36.73,27,71,2.81,CO,1680642560
47,pevek,69.7008,170.3133,-22.86,82,13,2.51,RU,1680642560
48,mitu,1.1983,-70.1733,26.8,77,100,1.63,CO,1680642561
49,port hardy,50.6996,-127.4199,6.65,64,98,3.26,CA,1680642452
50,lavrentiya,65.5833,-171.0,-20.57,88,99,1.06,RU,1680642562
51,hermanus,-34.4187,19.2345,14.33,78,4,3.42,ZA,1680642562
52,khatanga,71.9667,102.5,-29.12,100,96,3.62,RU,1680642562
53,arraial do cabo,-22.9661,-42.0278,24.92,78,0,5.14,BR,1680642562
54,zhangjiakou,40.81,114.8794,3.13,76,41,2.95,CN,1680642563
55,banyo,6.75,11.8167,22.25,63,100,0.57,CM,1680642563
56,okahandja,-21.9833,16.9167,21.74,39,37,1.98,NA,1680642532
57,longyearbyen,78.2186,15.6401,-17.09,60,75,5.14,SJ,1680642564
58,qaanaaq,77.484,-69.3632,-25.69,81,0,0.64,GL,1680642564
59,provideniya,64.3833,-173.3,-14.94,72,75,3.0,RU,1680642564
60,saldanha,-33.0117,17.9442,16.43,87,0,5.98,ZA,1680642565
61,grindavik,63.8424,-22.4338,6.26,100,100,7.72,IS,1680642565
62,kholtoson,50.2981,103.3097,-6.7,62,74,1.8,RU,1680642565
63,zhovkva,50.0583,23.9726,-1.96,81,94,3.38,UA,1680642566
64,tomatlan,19.9333,-105.25,31.12,32,100,3.88,MX,1680642566
65,vestmanna,62.1564,-7.1664,7.51,93,100,9.26,FO,1680642566
66,victoria,22.2855,114.1577,25.18,93,15,1.34,HK,1680642367
67,broome,42.2506,-75.833,21.1,55,100,5.36,US,1680642567
68,marsa matruh,31.3525,27.2453,16.8,74,5,4.53,EG,1680642503
69,lagoa,39.05,-27.9833,14.91,70,40,5.4,PT,1680642568
70,avera,33.194,-82.5271,26.73,54,49,2.15,US,1680642568
71,shuangcheng,45.35,126.2833,1.75,21,95,2.44,CN,1680642568
72,faanui,-16.4833,-151.75,27.8,75,59,3.36,PF,1680642569
73,paranhos,-23.8928,-55.4311,24.86,78,93,1.82,BR,1680642569
74,atlantis,-33.5667,18.4834,17.77,85,0,2.89,ZA,1680642569
75,zemio,5.0314,25.1361,27.64,34,97,1.48,CF,1680642570
76,cabo san lucas,22.8909,-109.9124,28.12,46,25,5.25,MX,1680641867
77,gizo,-8.103,156.8419,28.42,75,68,2.77,SB,1680642570
78,new norfolk,-42.7826,147.0587,9.84,84,59,0.93,AU,1680642570
79,huarmey,-10.0681,-78.1522,27.17,74,77,3.89,PE,1680642571
80,klaksvik,62.2266,-6.589,8.51,96,100,14.4,FO,1680642572
81,kapaa,22.0752,-159.319,25.99,83,75,7.2,US,1680642573
82,mataura,-46.1927,168.8643,14.71,78,84,1.98,NZ,1680642574
83,townsville,-19.25,146.8,23.49,94,40,2.57,AU,1680642575
84,dikson,73.5069,80.5464,-17.34,93,100,7.06,RU,1680642575
85,ilulissat,69.2167,-51.1,-9.99,62,20,5.66,GL,1680642576
86,sao miguel do araguaia,-13.275,-50.1628,24.4,85,14,1.21,BR,1680642576
87,avarua,-21.2078,-159.775,27.03,69,75,2.57,CK,1680642577
88,fairbanks,64.8378,-147.7164,3.19,60,75,1.54,US,1680642331
89,caraz,-9.0486,-77.81,18.15,93,99,3.11,PE,1680642577
90,portland,45.5234,-122.6762,9.33,79,75,2.57,US,1680642364
91,superior,46.7208,-92.1041,-0.85,91,100,18.01,US,1680642578
92,punta de bombon,-17.1717,-71.7931,23.74,83,70,3.08,PE,1680642578
93,saint-philippe,-21.3585,55.7679,24.77,81,36,1.1,RE,1680642578
94,tecoanapa,16.5167,-98.75,30.01,58,72,6.14,MX,1680642579
95,cururupu,-1.8283,-44.8683,24.11,94,88,1.42,BR,1680642579
96,rikitea,-23.1203,-134.9692,26.25,80,82,5.65,PF,1680642580
97,kualakapuas,-3.0091,114.3876,23.03,98,100,0.2,ID,1680642580
98,hovd,48.0056,91.6419,-4.53,30,7,0.4,MN,1680642580
99,dakar,14.6937,-17.4441,25.49,77,90,4.48,SN,1680642527
100,tiksi,71.6872,128.8694,-17.97,97,100,6.14,RU,1680642581
101,pacific grove,36.6177,-121.9166,15.68,59,0,5.14,US,1680642581
102,jaisalmer,26.9147,70.9181,26.83,23,4,2.45,IN,1680642582
103,havoysund,70.9963,24.6622,1.13,97,100,0.91,NO,1680642582
104,ostrovnoy,68.0531,39.5131,0.59,85,94,7.26,RU,1680642583
105,tasiilaq,65.6145,-37.6368,-2.91,93,100,3.78,GL,1680642583
106,marabba,12.35,32.1833,32.85,14,46,6.86,SD,1680642583
107,aykhal,66.0,111.5,-30.19,100,100,5.44,RU,1680642584
108,luxor,25.6989,32.6421,24.9,8,64,1.94,EG,1680642584
109,upernavik,72.7868,-56.1549,-26.7,95,52,2.5,GL,1680642584
110,vardo,70.3705,31.1107,-0.01,80,100,7.72,NO,1680642584
111,bundaberg,-24.85,152.35,21.23,97,2,0.89,AU,1680642382
112,bambanglipuro,-7.95,110.2833,24.23,88,100,1.56,ID,1680642377
113,balabac,7.9868,117.0645,26.7,77,49,2.52,PH,1680642585
114,olafsvik,64.8945,-23.7142,5.65,89,100,7.24,IS,1680642586
115,port lincoln,-34.7333,135.8667,19.54,54,57,3.13,AU,1680642586
116,eirunepe,-6.6603,-69.8736,26.63,82,99,0.99,BR,1680642587
117,kieta,-6.2167,155.6333,27.1,80,100,0.54,PG,1680642587
118,kruisfontein,-34.0033,24.7314,14.94,93,38,1.22,ZA,1680642587
119,mana,5.6592,-53.7767,26.58,73,61,4.42,GF,1680642588
120,aklavik,68.2191,-135.0107,-5.92,82,100,0.89,CA,1680642588
121,lodja,-3.4833,23.4333,20.75,95,89,0.51,CD,1680642589
122,khuzdar,27.7384,66.6434,18.87,35,0,0.94,PK,1680642589
123,nikolskoye,59.7035,30.7861,0.94,99,100,1.83,RU,1680642589
124,carroll,39.5501,-77.0164,26.47,42,2,2.24,US,1680642589
125,ust-ishim,57.6935,71.1665,0.82,97,100,2.99,RU,1680642590
126,cabedelo,-6.9811,-34.8339,26.37,84,72,4.99,BR,1680642590
127,chokurdakh,70.6333,147.9167,-14.55,88,100,3.62,RU,1680642591
128,gokak,16.1667,74.8333,24.7,59,8,2.62,IN,1680642591
129,batagay,67.6333,134.6333,-9.57,96,100,0.41,RU,1680642591
130,beisfjord,68.3751,17.5988,3.91,90,100,2.12,NO,1680642591
131,hami,42.8,93.45,0.28,73,85,3.69,CN,1680642486
132,vila,42.0304,-8.1588,11.49,66,1,1.77,PT,1680642592
133,bambous virieux,-20.3428,57.7575,25.08,79,67,0.99,MU,1680642592
134,waitati,-45.75,170.5667,11.91,85,100,2.18,NZ,1680642593
135,rapid city,44.0805,-103.231,-2.39,87,100,10.29,US,1680642324
136,tiznit,29.5833,-9.5,11.03,78,82,7.87,MA,1680642593
137,mayumba,-3.432,10.6554,26.01,84,100,1.3,GA,1680642593
138,sisimiut,66.9395,-53.6735,-11.64,74,7,6.19,GL,1680642594
139,elesbao veloso,-6.2019,-42.1403,26.28,70,67,1.6,BR,1680642594
140,cape town,-33.9258,18.4232,20.21,79,2,4.47,ZA,1680642595
141,dharchula,29.85,80.5333,11.62,67,32,3.14,IN,1680642595
142,norman wells,65.282,-126.8329,-3.45,75,94,4.13,CA,1680642595
143,kodiak,57.79,-152.4072,3.73,93,100,0.0,US,1680642595
144,huilong,31.8111,121.655,13.85,92,100,6.25,CN,1680642596
145,seryshevo,51.0933,128.3786,-2.51,59,0,2.8,RU,1680642596
146,coquimbo,-29.9533,-71.3436,18.85,72,20,5.66,CL,1680642596
147,ixtapa,20.7,-105.2,24.57,69,100,3.6,MX,1680642597
148,padang,-0.9492,100.3543,24.52,86,100,1.23,ID,1680642597
149,whitianga,-36.8333,175.7,16.07,66,14,0.74,NZ,1680642597
150,flin flon,54.7682,-101.865,-3.47,76,94,2.31,CA,1680642598
151,quatre cocos,-20.2078,57.7625,24.89,80,91,1.27,MU,1680642598
152,tisul,55.7611,88.3122,-8.5,97,22,1.43,RU,1680642598
153,port alfred,-33.5906,26.891,18.62,84,4,2.31,ZA,1680642599
154,mahebourg,-20.4081,57.7,25.14,79,51,0.73,MU,1680642599
155,shangrao,28.4532,117.9686,17.26,98,100,1.46,CN,1680642600
156,nouadhibou,20.931,-17.0347,18.87,77,47,10.95,MR,1680642600
157,skjervoy,70.0311,20.9714,1.0,81,100,2.8,NO,1680642601
158,tuatapere,-46.1333,167.6833,13.84,86,51,2.4,NZ,1680642602
159,ancud,-41.8697,-73.8203,15.12,75,97,1.69,CL,1680642602
160,port-gentil,-0.7193,8.7815,26.17,87,100,7.68,GA,1680642604
161,saskylakh,71.9167,114.0833,-39.13,100,26,1.88,RU,1680642606
162,borogontsy,62.6683,131.1683,-12.7,97,99,2.28,RU,1680642606
163,fethiye,36.6217,29.1164,15.93,87,78,0.22,TR,1680642430
164,karnal,29.6833,76.9833,19.19,51,0,3.06,IN,1680642607
165,castro,-24.7911,-50.0119,21.54,64,47,0.46,BR,1680642607
166,huejuquilla el alto,22.6,-103.8667,28.06,9,95,8.44,MX,1680642607
167,eyl,7.9803,49.8164,27.0,66,4,5.62,SO,1680642608
168,miles city,46.4083,-105.8406,-3.46,68,100,6.17,US,1680642388
169,polyarnyy,69.1989,33.4478,0.18,93,74,7.62,RU,1680642608
170,kristiansund,63.1115,7.732,3.36,81,0,1.54,NO,1680642609
171,vila velha,-20.3297,-40.2925,24.97,81,0,3.6,BR,1680642609
172,mezen,65.8522,44.24,-15.59,100,82,1.76,RU,1680642609
173,lubin,51.4009,16.2015,-0.08,59,69,2.57,PL,1680642610
174,lossiemouth,57.7214,-3.2834,10.92,66,0,4.12,GB,1680642610
175,juneau,58.3019,-134.4197,6.0,56,100,6.17,US,1680642423
176,ponta delgada,37.7333,-25.6667,14.4,82,20,3.09,PT,1680642611
177,bara,10.3744,10.7288,29.21,10,100,0.86,NG,1680642484
178,salalah,17.0151,54.0924,28.05,54,0,1.03,OM,1680642612
179,seydi,39.4816,62.9137,11.15,53,72,1.68,TM,1680642612
180,lompoc,34.6391,-120.4579,18.34,59,40,10.29,US,1680642613
181,virginia beach,36.8529,-75.978,26.03,70,40,6.69,US,1680642358
182,constitucion,-35.3333,-72.4167,17.91,52,6,4.19,CL,1680642615
183,bathsheba,13.2167,-59.5167,28.34,61,20,9.26,BB,1680642616
184,itoman,26.1247,127.6694,21.01,68,75,9.26,JP,1680642616
185,buarcos,40.166,-8.8768,15.19,50,0,5.15,PT,1680642617
186,tonj,7.2737,28.6822,30.43,28,55,0.89,SS,1680642617
187,kutum,14.2,24.6667,25.31,15,95,1.36,SD,1680642618
188,comodoro rivadavia,-45.8667,-67.5,24.92,27,0,2.06,AR,1680642618
189,fortuna,40.5982,-124.1573,12.18,63,85,1.34,US,1680642474
190,port elizabeth,-33.918,25.5701,16.29,94,44,0.89,ZA,1680642619
191,whitehorse,60.7161,-135.0538,-0.5,79,100,3.67,CA,1680642619
192,leshukonskoye,64.8989,45.7622,-2.46,93,100,2.1,RU,1680642620
193,muros,42.7762,-9.0603,11.49,64,7,4.89,ES,1680642620
194,bac lieu,9.285,105.7244,26.87,78,18,2.2,VN,1680642620
195,carnarvon,-24.8667,113.6333,22.17,71,2,7.84,AU,1680642621
196,sao filipe,14.8961,-24.4956,23.6,76,76,3.09,CV,1680642621
197,chuy,-33.6971,-53.4616,19.88,75,61,4.04,UY,1680642621
198,falkenberg,56.9055,12.4912,4.41,77,71,2.16,SE,1680642621
199,harmanli,41.9333,25.9,5.51,87,100,5.2,BG,1680642622
